StuckWin,1V1
Groupe 40 : , Berkrouber Benjamin , Taskin Semih
Joueur, Src, Dest, Etats
B,D2,D3,OK
R,B5,C4,OK
B,F4,F5,OK
R,B4,B3,OK
B,F5,E6,OK
R,C4,C3,OK
B,G4,F5,OK
R,A6,B5,OK
B,G3,G4,OK
R,A7,A6,OK
B,D3,D4,OK
R,A4,B4,OK
B,D4,D5,OK
R,A5,A4,OK
B,E3,E4,OK
R,D6,E5,OK
B,E2,E3,OK
R,D7,D6,OK
B,E3,D4,OK
R,C7,D7,OK
B,F3,F4,OK
R,C3,D3,OK
B,F2,F3,OK
R,D3,D2,OK
B,G2,G3,OK
R,D2,E2,OK
B,G1,G2,OK
R,A6,A5,OK
B,D1,D2,OK
R,B3,C2,OK
B,D2,D3,OK
R,E2,F2,OK
B,E1,E2,OK
R,B4,B3,OK
B,E2,E3,OK
R,C5,C4,OK
B,F1,E2,OK
R,B7,C7,OK
B,E2,D2,OK
R,C4,C3,OK
B,D4,C5,OK
R,A5,B4,OK
B,D3,D4,OK
R,C3,D3,OK
B,D2,C3,OK
R,F2,G1,OK
B,G2,F2,OK
R,B4,C4,OK
B,F2,E2,OK
R,D3,D2,OK
B,E2,D3,OK
R,D2,D1,OK
B,C3,B4,OK
R,C4,C3,OK
B,D3,C4,OK
R,C3,D2,OK
B,E3,D3,OK
R,D2,E2,OK
B,F3,E3,OK
R,C2,D2,OK
B,G3,F3,OK
R,D2,E1,OK
B,D3,C3,OK
R,E2,F1,OK
B,E3,D3,OK
R,B3,C2,OK
B,F3,E3,OK
R,C2,D2,OK
B,C3,B3,OK
R,D2,E2,OK
B,D3,C3,OK
R,E2,F2,OK
B,E3,D3,OK
R,F2,G2,OK
B,B4,A5,OK
R,A4,B4,OK
B,B3,A4,OK
R,B4,B3,OK
B,C3,B4,OK
R,B3,C2,OK
B,D3,C3,OK
R,C2,D2,OK
B,C3,B3,OK
R,D2,E2,OK
B,A5,A6,OK
R,E2,F2,OK
B,A4,A5,OK
Victoire : R (43 coups)